주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
405-2-000073,"신엄리 1729-1, 1728-1",공영,노외,,제주특별자치도 제주시 애월읍 신엄리 1729-1,12,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4619805,126.3685381,,2026-04-16
405-2-000074,신엄리 1796-1,공영,노외,,제주특별자치도 제주시 애월읍 신엄리 1796-1,15,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4559341,126.3697953,,2026-04-16
405-2-000075,신엄리 2564,공영,노외,,제주특별자치도 제주시 애월읍 신엄리 2564,7,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4735011,126.3650491,,2026-04-16
405-2-000076,신엄리 2665-1,공영,노외,,제주특별자치도 제주시 애월읍 신엄리 2665-1,5,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4746289,126.3652405,,2026-04-16
405-2-000077,애월리 1506,공영,노외,,제주특별자치도 제주시 애월읍 애월리 1506,6,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4630106,126.3179023,,2026-04-16
405-2-000078,애월리 1544-2,공영,노외,,제주특별자치도 제주시 애월읍 애월리 1544-2,9,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4644134,126.3188373,,2026-04-16
405-2-000079,애월리 1680-1,공영,노외,,제주특별자치도 제주시 애월읍 애월리 1680-1,11,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4654863,126.3195161,,2026-04-16
405-2-000080,애월리 1710-1,공영,노외,,제주특별자치도 제주시 애월읍 애월리 1710-1,9,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4652119,126.3200348,,2026-04-16
405-2-000081,애월리 2060-2,공영,노외,,제주특별자치도 제주시 애월읍 애월리 2060-2,13,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4651361,126.3165218,,2026-04-16
405-2-000082,애월리 2109-1,공영,노외,,제주특별자치도 제주시 애월읍 애월리 2109-1,20,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4641539,126.3171491,,2026-04-16
405-2-000083,애월리 354-1애월리 353-3,공영,노외,,제주특별자치도 제주시 애월읍 애월리 354-1,17,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4632302,126.329198,,2026-04-16
